time;wx (rad/s);wy (rad/s);wz (rad/s)
0,003700;-0,02;0,04;0,32
0,004269;-0,04;0,06;0,31
0,004465;-0,06;0,08;0,30
0,004625;-0,07;0,09;0,28
0,004758;-0,08;0,10;0,27
0,008376;-0,09;0,10;0,26
0,009268;-0,09;0,11;0,25
0,012301;-0,10;0,11;0,24
0,014244;-0,10;0,11;0,23
0,016201;-0,11;0,10;0,22
0,018181;-0,11;0,12;0,21
0,021053;-0,10;0,14;0,20
0,023206;-0,10;0,16;0,19
0,025610;-0,09;0,18;0,18
0,028326;-0,08;0,20;0,17
0,030459;-0,06;0,21;0,17
0,032756;-0,05;0,22;0,16
0,034894;-0,04;0,23;0,15
0,037418;-0,02;0,25;0,15
0,039523;-0,00;0,26;0,15
0,041886;0,01;0,27;0,15
0,044869;0,03;0,28;0,15
0,046652;0,04;0,29;0,15
0,048932;0,05;0,30;0,16
0,051243;0,06;0,30;0,17
0,053638;0,06;0,31;0,18
0,055918;0,07;0,32;0,19
0,058344;0,07;0,33;0,20
0,061719;0,07;0,33;0,22
0,062556;0,07;0,34;0,23
0,065573;0,07;0,35;0,24
0,067825;0,07;0,35;0,25
0,070180;0,07;0,36;0,26
0,072236;0,06;0,37;0,27
0,074851;0,06;0,37;0,28
0,077145;0,05;0,38;0,28
0,078577;0,05;0,38;0,29
0,081864;0,05;0,38;0,29
0,084110;0,05;0,38;0,29
0,086602;0,05;0,39;0,29
0,088663;0,05;0,39;0,29
0,091057;0,04;0,39;0,28
0,093545;0,05;0,39;0,28
0,100508;0,06;0,39;0,27
0,101141;0,06;0,38;0,26
0,101394;0,07;0,38;0,26
0,103087;0,08;0,38;0,25
0,104904;0,09;0,38;0,24
0,107801;0,10;0,37;0,23
0,110457;0,11;0,37;0,22
0,114768;0,12;0,37;0,22
0,115280;0,13;0,37;0,21
0,116625;0,14;0,36;0,20
0,118465;0,14;0,35;0,20
0,121231;0,15;0,35;0,19
0,123454;0,16;0,35;0,19
0,125902;0,16;0,34;0,20
0,128269;0,16;0,34;0,20
0,130513;0,16;0,34;0,20
0,132948;0,15;0,34;0,21
0,136382;0,14;0,35;0,23
0,138234;0,13;0,34;0,24
0,140047;0,12;0,34;0,25
0,142191;0,10;0,34;0,26
0,144928;0,08;0,34;0,28
0,146836;0,06;0,33;0,28
0,149427;0,04;0,33;0,30
0,151862;0,02;0,32;0,30
0,154085;0,00;0,32;0,31
0,156216;-0,02;0,32;0,31
0,158615;-0,04;0,31;0,31
0,161548;-0,05;0,32;0,31
0,163440;-0,07;0,32;0,31
0,165487;-0,08;0,31;0,31
0,168035;-0,09;0,31;0,30
0,170283;-0,10;0,31;0,29
0,172393;-0,11;0,30;0,29
0,175034;-0,11;0,30;0,28
0,178045;-0,11;0,30;0,27
0,178697;-0,11;0,29;0,26
0,182110;-0,11;0,29;0,25
0,184094;-0,10;0,28;0,23
0,186805;-0,09;0,29;0,22
0,188675;-0,08;0,29;0,21
0,191307;-0,07;0,29;0,19
0,199545;-0,05;0,28;0,17
0,200206;-0,03;0,26;0,16
0,200471;-0,02;0,25;0,14
0,200690;0,01;0,23;0,13
0,202917;0,03;0,22;0,11
0,207737;0,05;0,20;0,09
0,208520;0,07;0,19;0,08
0,209872;0,09;0,18;0,06
0,215384;0,11;0,17;0,05
0,215940;0,13;0,16;0,04
0,216605;0,15;0,15;0,02
0,218952;0,17;0,13;0,01
0,221308;0,18;0,12;0,00
0,223608;0,20;0,11;-0,01
0,225874;0,21;0,11;-0,01
0,228770;0,22;0,09;-0,02
0,230861;0,22;0,09;-0,02
0,233231;0,23;0,08;-0,03
0,236124;0,23;0,07;-0,03
0,237639;0,23;0,07;-0,03
0,240236;0,22;0,06;-0,03
0,242388;0,22;0,05;-0,02
0,244885;0,21;0,05;-0,02
0,246887;0,19;0,04;-0,02
0,249490;0,18;0,04;-0,01
0,251369;0,17;0,04;-0,01
0,254309;0,15;0,04;-0,00
0,256480;0,13;0,04;0,00
0,258791;0,11;0,04;0,01
0,261367;0,08;0,04;0,01
0,263052;0,07;0,05;0,01
0,265993;0,04;0,05;0,01
0,269324;0,03;0,05;0,01
0,270292;0,01;0,05;0,01
0,272886;-0,01;0,06;0,01
0,275254;-0,01;0,06;0,00
0,277503;-0,03;0,07;-0,01
0,278851;-0,04;0,07;-0,02
0,282089;-0,04;0,07;-0,03
0,284382;-0,05;0,08;-0,04
0,286915;-0,05;0,08;-0,05
0,288811;-0,05;0,08;-0,06
0,291569;-0,04;0,09;-0,07
0,299203;-0,04;0,09;-0,08
0,299839;-0,03;0,09;-0,10
0,300116;-0,02;0,09;-0,11
0,300667;-0,01;0,09;-0,12
