time;wx (rad/s);wy (rad/s);wz (rad/s)
0,002601;-0,12;0,05;0,06
0,003050;-0,14;0,13;0,06
0,003306;-0,16;0,19;0,06
0,003715;-0,17;0,25;0,06
0,007179;-0,19;0,30;0,06
0,008058;-0,20;0,34;0,06
0,010345;-0,21;0,38;0,06
0,016199;-0,21;0,41;0,05
0,016548;-0,22;0,43;0,05
0,017214;-0,21;0,44;0,05
0,019652;-0,21;0,45;0,05
0,022000;-0,21;0,45;0,05
0,024110;-0,20;0,45;0,05
0,026291;-0,19;0,45;0,05
0,029114;-0,18;0,44;0,05
0,031191;-0,16;0,43;0,05
0,033685;-0,15;0,42;0,04
0,036537;-0,14;0,41;0,04
0,038336;-0,12;0,40;0,04
0,039949;-0,11;0,39;0,04
0,043067;-0,10;0,39;0,04
0,045203;-0,09;0,38;0,04
0,047874;-0,08;0,38;0,04
0,049771;-0,07;0,38;0,04
0,053027;-0,07;0,37;0,05
0,054446;-0,06;0,36;0,05
0,056906;-0,05;0,35;0,05
0,058868;-0,05;0,34;0,05
0,061631;-0,04;0,32;0,05
0,063807;-0,04;0,30;0,05
0,066097;-0,04;0,27;0,05
0,068433;-0,03;0,24;0,05
0,073890;-0,03;0,21;0,05
0,074354;-0,03;0,17;0,05
0,075493;-0,03;0,15;0,05
0,078224;-0,03;0,12;0,04
0,079874;-0,03;0,10;0,04
0,082915;-0,03;0,09;0,04
0,085346;-0,04;0,08;0,04
0,092513;-0,04;0,07;0,04
0,092954;-0,04;0,07;0,04
0,093171;-0,04;0,06;0,03
0,095350;-0,04;0,07;0,03
0,096361;-0,05;0,07;0,02
0,098899;-0,06;0,08;0,02
0,101158;-0,06;0,08;0,02
0,103506;-0,07;0,10;0,01
0,105784;-0,08;0,10;0,01
0,108194;-0,08;0,11;0,01
0,111060;-0,09;0,12;0,00
0,112866;-0,10;0,13;-0,00
0,115276;-0,10;0,13;-0,00
0,118167;-0,11;0,13;-0,01
0,120187;-0,11;0,13;-0,01
0,122273;-0,11;0,12;-0,01
0,124594;-0,11;0,12;-0,02
0,126782;-0,11;0,11;-0,02
0,129163;-0,11;0,10;-0,02
0,131576;-0,10;0,08;-0,02
0,133900;-0,09;0,07;-0,03
0,136022;-0,08;0,05;-0,03
0,138228;-0,07;0,04;-0,03
0,140173;-0,06;0,02;-0,03
0,143156;-0,05;0,00;-0,03
0,145463;-0,04;-0,01;-0,03
0,147840;-0,03;-0,03;-0,03
0,150117;-0,02;-0,04;-0,02
0,152905;-0,01;-0,05;-0,02
0,154682;-0,00;-0,06;-0,02
0,157083;0,00;-0,07;-0,02
0,159513;0,01;-0,08;-0,02
0,162077;0,02;-0,09;-0,02
0,164132;0,03;-0,10;-0,02
0,166378;0,03;-0,10;-0,02
0,174740;0,04;-0,10;-0,02
0,175422;0,04;-0,10;-0,02
0,175688;0,04;-0,09;-0,02
0,175923;0,04;-0,08;-0,02
0,178316;0,04;-0,07;-0,02
0,180308;0,04;-0,05;-0,02
0,182997;0,03;-0,03;-0,02
0,185581;0,03;-0,01;-0,02
0,191714;0,03;0,01;-0,03
0,192117;0,02;0,02;-0,03
0,192268;0,01;0,04;-0,03
0,194428;0,01;0,06;-0,04
0,196668;0,00;0,07;-0,04
0,198767;-0,00;0,07;-0,05
0,201323;-0,00;0,09;-0,05
0,203757;-0,01;0,09;-0,05
0,205823;-0,01;0,09;-0,06
0,208499;-0,01;0,09;-0,06
0,210960;-0,01;0,08;-0,05
0,212872;-0,02;0,07;-0,05
0,215469;-0,02;0,06;-0,05
0,217584;-0,03;0,05;-0,04
0,220473;-0,04;0,04;-0,02
0,222414;-0,04;0,03;-0,01
0,224713;-0,04;0,02;-0,01
0,227774;-0,05;0,01;0,00
0,229421;-0,05;0,01;0,01
0,231606;-0,04;0,01;0,01
0,234142;-0,04;0,01;0,02
